origin,destination,type,price,duration,main_attraction
Surat,Delhi,bus,525,513,Red Fort,Qutub Minar
Mumbai,Patna,flight,5739,236,Golghar,Nalanda University
Dehradun,Ahmedabad,train,2366,349,Sabarmati Ashram,Adalaj Stepwell
Udaipur,Delhi,bus,912,849,Red Fort,Qutub Minar
Bangalore,Hyderabad,flight,8557,71,Charminar,Golkonda Fort
Kolkata,Shimla,train,2633,500,Mall Road,Jakhoo Temple
Chandigarh,Varanasi,car,2738,281,Kashi Vishwanath Temple,Dashashwamedh Ghat
Agra,Delhi,bus,552,486,Red Fort,Qutub Minar
Nagpur,Varanasi,bus,599,453,Kashi Vishwanath Temple,Dashashwamedh Ghat
Indore,Mysore,bus,1894,573,Mysore Palace,Brindavan Gardens
Hyderabad,Dehradun,flight,8605,104,Robber's Cave,Forest Research Institute
Chandigarh,Jaipur,train,1979,373,Amber Fort,City Palace
Pune,Amritsar,car,4673,463,Golden Temple,Jallianwala Bagh
Varanasi,Hyderabad,flight,3491,61,Charminar,Golkonda Fort
Surat,Kashmir,flight,4212,185,Pahalgam ,Dal Lake
Ahmedabad,Patna,flight,3838,223,Golghar,Nalanda University
Lucknow,Kashmir,flight,7315,193,Pahalgam ,Dal Lake
Varanasi,Udaipur,flight,3136,136,City Palace,Lake Pichola
Udaipur,Lucknow,flight,5411,235,Bara Imambara,Chota Imambara
Udaipur,Mysore,bus,721,763,Mysore Palace,Brindavan Gardens
Shimla,Chandigarh,train,2536,600,Rock Garden,Sukhna Lake
Hyderabad,Agra,flight,3557,231,Taj Mahal,Agra Fort
Surat,Patna,flight,4733,159,Golghar,Nalanda University
Patna,Dehradun,bus,1575,599,Robber's Cave,Forest Research Institute
Nagpur,Chennai,flight,3649,81,Marina Beach,Kapaleeshwarar Temple
Mysore,Pune,flight,4268,200,Shaniwar Wada,Aga Khan Palace
Hyderabad,Varanasi,flight,3285,91,Kashi Vishwanath Temple,Dashashwamedh Ghat
Dehradun,Goa,flight,7928,104,Baga Beach,Fort Aguada
Goa,Indore,flight,5130,233,Rajwada Palace,Lal Bagh Palace
Delhi,Dehradun,flight,4115,71,Robber's Cave,Forest Research Institute
Goa,Agra,flight,4821,148,Taj Mahal,Agra Fort
Indore,Varanasi,bus,1741,376,Kashi Vishwanath Temple,Dashashwamedh Ghat
Patna,Amritsar,bus,1872,636,Golden Temple,Jallianwala Bagh
Varanasi,Agra,train,2886,833,Taj Mahal,Agra Fort
Jaipur,Pune,car,1362,433,Shaniwar Wada,Aga Khan Palace
Chandigarh,Dehradun,train,3237,403,Robber's Cave,Forest Research Institute
Pune,Lucknow,car,1686,374,Bara Imambara,Chota Imambara
Kolkata,Nagpur,flight,4946,128,Deekshabhoomi,Ambazari Lake
Shimla,Amritsar,train,1186,375,Golden Temple,Jallianwala Bagh
Nagpur,Surat,bus,684,709,Dumas Beach,Sarthana Nature Park
Delhi,Bangalore,flight,5504,209,Bangalore Palace,Lalbagh Botanical Garden
Chandigarh,Mysore,flight,5373,222,Mysore Palace,Brindavan Gardens
Pune,Bangalore,bus,1508,525,Bangalore Palace,Lalbagh Botanical Garden
Udaipur,Goa,flight,3217,179,Baga Beach,Fort Aguada
Kashmir,Udaipur,bus,1036,850,City Palace,Lake Pichola
Udaipur,Shimla,bus,1584,302,Mall Road,Jakhoo Temple
Kashmir,Udaipur,bus,1150,493,City Palace,Lake Pichola
Nagpur,Kashmir,flight,4586,227,Pahalgam ,Dal Lake
Amritsar,Chennai,flight,5763,74,Marina Beach,Kapaleeshwarar Temple
Hyderabad,Mysore,bus,1864,889,Mysore Palace,Brindavan Gardens
Kolkata,Hyderabad,bus,1713,441,Charminar,Golkonda Fort
Surat,Goa,flight,5761,95,Baga Beach,Fort Aguada
Mysore,Indore,flight,7553,152,Rajwada Palace,Lal Bagh Palace
Bangalore,Lucknow,bus,1121,534,Bara Imambara,Chota Imambara
Dehradun,Bangalore,bus,1833,364,Bangalore Palace,Lalbagh Botanical Garden
Lucknow,Kashmir,bus,687,347,Pahalgam ,Dal Lake
Kashmir,Pune,bus,1410,480,Shaniwar Wada,Aga Khan Palace
Varanasi,Mysore,flight,7849,63,Mysore Palace,Brindavan Gardens
Dehradun,Delhi,flight,3266,73,Red Fort,Qutub Minar
Chennai,Nagpur,flight,7447,64,Deekshabhoomi,Ambazari Lake
Kolkata,Kashmir,bus,975,680,Pahalgam ,Dal Lake
Mysore,Agra,bus,1158,668,Taj Mahal,Agra Fort
Jaipur,Agra,car,3188,318,Taj Mahal,Agra Fort
Chennai,Shimla,bus,1032,574,Mall Road,Jakhoo Temple
Shimla,Mumbai,bus,585,519,Gateway of India,Marine Drive
Jaipur,Amritsar,train,3542,685,Golden Temple,Jallianwala Bagh
Mumbai,Lucknow,bus,1079,343,Bara Imambara,Chota Imambara
Ahmedabad,Delhi,flight,3252,118,Red Fort,Qutub Minar
Shimla,Lucknow,train,2165,360,Bara Imambara,Chota Imambara
Nagpur,Delhi,flight,5959,237,Red Fort,Qutub Minar
Hyderabad,Agra,bus,901,641,Taj Mahal,Agra Fort
Bangalore,Delhi,flight,3788,74,Red Fort,Qutub Minar
Jaipur,Nagpur,bus,1557,857,Deekshabhoomi,Ambazari Lake
Lucknow,Goa,flight,5191,221,Baga Beach,Fort Aguada
Kashmir,Chennai,flight,6562,61,Marina Beach,Kapaleeshwarar Temple
Goa,Hyderabad,bus,569,361,Charminar,Golkonda Fort
Chennai,Nagpur,flight,8153,95,Deekshabhoomi,Ambazari Lake
Ahmedabad,Mysore,bus,1800,311,Mysore Palace,Brindavan Gardens
Goa,Hyderabad,bus,1514,697,Charminar,Golkonda Fort
Goa,Hyderabad,bus,1053,564,Charminar,Golkonda Fort
Kashmir,Delhi,bus,700,404,Red Fort,Qutub Minar
Chennai,Shimla,bus,1564,853,Mall Road,Jakhoo Temple
Mysore,Delhi,flight,6720,181,Red Fort,Qutub Minar
Surat,Hyderabad,flight,3684,238,Charminar,Golkonda Fort
Kolkata,Surat,flight,5149,67,Dumas Beach,Sarthana Nature Park
Patna,Ahmedabad,flight,4334,117,Sabarmati Ashram,Adalaj Stepwell
Udaipur,Mysore,flight,4124,159,Mysore Palace,Brindavan Gardens
Kolkata,Amritsar,car,3650,379,Golden Temple,Jallianwala Bagh
Chennai,Indore,flight,5662,118,Rajwada Palace,Lal Bagh Palace
Patna,Goa,flight,9071,173,Baga Beach,Fort Aguada
Goa,Pune,bus,905,872,Shaniwar Wada,Aga Khan Palace
Pune,Nagpur,bus,838,438,Deekshabhoomi,Ambazari Lake
Kashmir,Udaipur,bus,1632,447,City Palace,Lake Pichola
Varanasi,Agra,car,3447,367,Taj Mahal,Agra Fort
Agra,Patna,bus,688,678,Golghar,Nalanda University
Surat,Chennai,flight,9216,183,Marina Beach,Kapaleeshwarar Temple
Dehradun,Pune,car,4059,208,Shaniwar Wada,Aga Khan Palace
Hyderabad,Indore,bus,1975,570,Rajwada Palace,Lal Bagh Palace
Surat,Lucknow,bus,615,322,Bara Imambara,Chota Imambara
Dehradun,Delhi,flight,8682,88,Red Fort,Qutub Minar
Shimla,Bhopal,flight,5393,74,Upper Lake,Bhimbetka Rock Shelters
Delhi,Kashmir,bus,1461,531,Pahalgam ,Dal Lake
Bangalore,Surat,bus,972,703,Dumas Beach,Sarthana Nature Park
Delhi,Ahmedabad,flight,7503,92,Sabarmati Ashram,Adalaj Stepwell
Dehradun,Amritsar,train,2722,756,Golden Temple,Jallianwala Bagh
Nagpur,Pune,flight,5940,110,Shaniwar Wada,Aga Khan Palace
Shimla,Delhi,flight,6789,63,Red Fort,Qutub Minar
Varanasi,Goa,flight,8940,210,Baga Beach,Fort Aguada
Mysore,Udaipur,flight,5019,201,City Palace,Lake Pichola
Bangalore,Chandigarh,flight,8466,65,Rock Garden,Sukhna Lake
Ahmedabad,Jaipur,train,2233,543,Amber Fort,City Palace
Mumbai,Bangalore,flight,8100,88,Bangalore Palace,Lalbagh Botanical Garden
Dehradun,Goa,flight,4825,73,Baga Beach,Fort Aguada
Mysore,Indore,bus,1635,631,Rajwada Palace,Lal Bagh Palace
Chandigarh,Bangalore,bus,990,826,Bangalore Palace,Lalbagh Botanical Garden
Udaipur,Mysore,flight,5803,98,Mysore Palace,Brindavan Gardens
Jaipur,Patna,bus,991,707,Golghar,Nalanda University
Kolkata,Pune,train,1626,466,Shaniwar Wada,Aga Khan Palace
Mumbai,Bhopal,bus,1260,881,Upper Lake,Bhimbetka Rock Shelters
Ahmedabad,Goa,flight,9347,174,Baga Beach,Fort Aguada
Kashmir,Pune,flight,5429,114,Shaniwar Wada,Aga Khan Palace
Surat,Bangalore,flight,8443,125,Bangalore Palace,Lalbagh Botanical Garden
Dehradun,Bangalore,flight,9417,223,Bangalore Palace,Lalbagh Botanical Garden
Mumbai,Delhi,flight,7815,161,Red Fort,Qutub Minar
Jaipur,Shimla,train,1340,438,Mall Road,Jakhoo Temple
Kashmir,Amritsar,flight,9843,61,Golden Temple,Jallianwala Bagh
Kashmir,Bangalore,flight,3323,115,Bangalore Palace,Lalbagh Botanical Garden
Kashmir,Goa,bus,1036,815,Baga Beach,Fort Aguada
Kashmir,Mumbai,flight,6445,225,Gateway of India,Marine Drive
Pune,Mumbai,flight,4327,84,Gateway of India,Marine Drive
Amritsar,Mysore,flight,8757,181,Mysore Palace,Brindavan Gardens
Bhopal,Ahmedabad,flight,3151,77,Sabarmati Ashram,Adalaj Stepwell
Patna,Ahmedabad,bus,945,867,Sabarmati Ashram,Adalaj Stepwell
Amritsar,Shimla,train,3745,333,Mall Road,Jakhoo Temple
Shimla,Ahmedabad,car,3451,415,Sabarmati Ashram,Adalaj Stepwell
Delhi,Goa,flight,8217,106,Baga Beach,Fort Aguada
Bhopal,Mumbai,flight,5388,221,Gateway of India,Marine Drive
Mysore,Kolkata,bus,1723,602,Victoria Memorial,Howrah Bridge
Amritsar,Surat,flight,3768,94,Dumas Beach,Sarthana Nature Park
Kolkata,Indore,flight,8384,95,Rajwada Palace,Lal Bagh Palace
Varanasi,Bhopal,bus,1250,501,Upper Lake,Bhimbetka Rock Shelters
Chennai,Hyderabad,bus,1997,880,Charminar,Golkonda Fort
Amritsar,Pune,car,2136,204,Shaniwar Wada,Aga Khan Palace
Udaipur,Goa,bus,1964,357,Baga Beach,Fort Aguada
Lucknow,Ahmedabad,car,3310,403,Sabarmati Ashram,Adalaj Stepwell
Patna,Jaipur,flight,6487,122,Amber Fort,City Palace
Bhopal,Chennai,bus,971,446,Marina Beach,Kapaleeshwarar Temple
Chandigarh,Mysore,flight,8982,219,Mysore Palace,Brindavan Gardens
Indore,Shimla,bus,641,847,Mall Road,Jakhoo Temple
Varanasi,Chandigarh,car,5276,219,Rock Garden,Sukhna Lake
Ahmedabad,Kolkata,car,3574,198,Victoria Memorial,Howrah Bridge
Jaipur,Amritsar,train,3155,875,Golden Temple,Jallianwala Bagh
Surat,Agra,bus,1056,893,Taj Mahal,Agra Fort
Mumbai,Shimla,bus,1552,731,Mall Road,Jakhoo Temple
Varanasi,Bhopal,flight,9295,92,Upper Lake,Bhimbetka Rock Shelters
Kolkata,Dehradun,train,3214,396,Robber's Cave,Forest Research Institute
Indore,Patna,flight,3994,68,Golghar,Nalanda University
Shimla,Patna,flight,3821,185,Golghar,Nalanda University
Varanasi,Bangalore,flight,4082,115,Bangalore Palace,Lalbagh Botanical Garden
Nagpur,Chennai,bus,1080,328,Marina Beach,Kapaleeshwarar Temple
Surat,Amritsar,bus,1976,617,Golden Temple,Jallianwala Bagh
Surat,Agra,flight,3996,215,Taj Mahal,Agra Fort
Bangalore,Agra,flight,9526,105,Taj Mahal,Agra Fort
Bhopal,Chennai,bus,549,688,Marina Beach,Kapaleeshwarar Temple
Indore,Shimla,bus,1228,390,Mall Road,Jakhoo Temple
Amritsar,Chandigarh,train,3511,768,Rock Garden,Sukhna Lake
Bangalore,Mumbai,flight,3791,189,Gateway of India,Marine Drive
Surat,Hyderabad,bus,839,675,Charminar,Golkonda Fort
Kashmir,Kolkata,flight,7916,235,Victoria Memorial,Howrah Bridge
Mysore,Jaipur,bus,513,555,Amber Fort,City Palace
Hyderabad,Lucknow,flight,9046,215,Bara Imambara,Chota Imambara
Kolkata,Bangalore,flight,5005,144,Bangalore Palace,Lalbagh Botanical Garden
Surat,Delhi,flight,6530,143,Red Fort,Qutub Minar
Shimla,Varanasi,train,3351,331,Kashi Vishwanath Temple,Dashashwamedh Ghat
Bangalore,Indore,flight,8606,128,Rajwada Palace,Lal Bagh Palace
Surat,Ahmedabad,flight,4227,98,Sabarmati Ashram,Adalaj Stepwell
Bangalore,Varanasi,flight,6547,120,Kashi Vishwanath Temple,Dashashwamedh Ghat
Shimla,Ahmedabad,car,5695,457,Sabarmati Ashram,Adalaj Stepwell
Surat,Delhi,flight,3360,231,Red Fort,Qutub Minar
Delhi,Shimla,bus,749,875,Mall Road,Jakhoo Temple
Shimla,Mumbai,bus,1598,358,Gateway of India,Marine Drive
Kashmir,Kolkata,flight,4855,176,Victoria Memorial,Howrah Bridge
Varanasi,Amritsar,car,1216,253,Golden Temple,Jallianwala Bagh
Dehradun,Nagpur,flight,8626,167,Deekshabhoomi,Ambazari Lake
Kashmir,Mumbai,flight,5579,75,Gateway of India,Marine Drive
Nagpur,Ahmedabad,flight,7528,173,Sabarmati Ashram,Adalaj Stepwell
Patna,Nagpur,flight,4745,77,Deekshabhoomi,Ambazari Lake
Lucknow,Bhopal,flight,4385,177,Upper Lake,Bhimbetka Rock Shelters
Mumbai,Indore,flight,4303,176,Rajwada Palace,Lal Bagh Palace
Nagpur,Surat,bus,1703,354,Dumas Beach,Sarthana Nature Park
Mumbai,Indore,bus,1414,699,Rajwada Palace,Lal Bagh Palace
Udaipur,Mumbai,bus,514,400,Gateway of India,Marine Drive
Chandigarh,Goa,flight,6100,226,Baga Beach,Fort Aguada
Chennai,Pune,bus,686,880,Shaniwar Wada,Aga Khan Palace
Amritsar,Lucknow,train,2781,480,Bara Imambara,Chota Imambara
Indore,Ahmedabad,bus,552,358,Sabarmati Ashram,Adalaj Stepwell
Pune,Surat,flight,8955,186,Dumas Beach,Sarthana Nature Park
Dehradun,Varanasi,train,3175,457,Kashi Vishwanath Temple,Dashashwamedh Ghat
Jaipur,Bangalore,bus,1003,567,Bangalore Palace,Lalbagh Botanical Garden
Mysore,Nagpur,bus,522,525,Deekshabhoomi,Ambazari Lake
Amritsar,Nagpur,bus,1295,782,Deekshabhoomi,Ambazari Lake
Amritsar,Chennai,bus,1862,617,Marina Beach,Kapaleeshwarar Temple
Bangalore,Hyderabad,flight,5200,140,Charminar,Golkonda Fort
Mysore,Lucknow,flight,4539,213,Bara Imambara,Chota Imambara
Nagpur,Chandigarh,flight,6536,229,Rock Garden,Sukhna Lake
Mysore,Shimla,bus,975,799,Mall Road,Jakhoo Temple
Chandigarh,Agra,train,1631,664,Taj Mahal,Agra Fort
Amritsar,Chandigarh,train,2791,741,Rock Garden,Sukhna Lake
Goa,Bhopal,bus,1162,471,Upper Lake,Bhimbetka Rock Shelters
Hyderabad,Patna,flight,4381,172,Golghar,Nalanda University
Shimla,Amritsar,car,2697,337,Golden Temple,Jallianwala Bagh
Varanasi,Ahmedabad,car,2910,352,Sabarmati Ashram,Adalaj Stepwell
Dehradun,Mumbai,flight,9938,173,Gateway of India,Marine Drive
Amritsar,Kolkata,train,1445,560,Victoria Memorial,Howrah Bridge
Kashmir,Ahmedabad,bus,1834,847,Sabarmati Ashram,Adalaj Stepwell
Bhopal,Kashmir,bus,1451,805,Pahalgam ,Dal Lake
Goa,Chandigarh,flight,3168,65,Rock Garden,Sukhna Lake
Pune,Indore,flight,6117,149,Rajwada Palace,Lal Bagh Palace
Mysore,Varanasi,flight,6264,217,Kashi Vishwanath Temple,Dashashwamedh Ghat
Mysore,Kashmir,bus,509,622,Pahalgam ,Dal Lake
Agra,Indore,bus,566,310,Rajwada Palace,Lal Bagh Palace
Nagpur,Dehradun,flight,8433,80,Robber's Cave,Forest Research Institute
Bangalore,Mysore,bus,1173,576,Mysore Palace,Brindavan Gardens
Patna,Hyderabad,flight,9935,142,Charminar,Golkonda Fort
Indore,Mysore,flight,3046,234,Mysore Palace,Brindavan Gardens
Ahmedabad,Goa,flight,9616,182,Baga Beach,Fort Aguada
Lucknow,Kolkata,car,1370,381,Victoria Memorial,Howrah Bridge
Lucknow,Mysore,flight,4571,169,Mysore Palace,Brindavan Gardens
Goa,Chennai,bus,1092,449,Marina Beach,Kapaleeshwarar Temple
Indore,Lucknow,flight,7168,78,Bara Imambara,Chota Imambara
Chennai,Lucknow,flight,8767,170,Bara Imambara,Chota Imambara
Agra,Jaipur,car,1459,214,Amber Fort,City Palace
Dehradun,Hyderabad,bus,1733,785,Charminar,Golkonda Fort
Varanasi,Patna,bus,663,548,Golghar,Nalanda University
Lucknow,Indore,flight,4316,185,Rajwada Palace,Lal Bagh Palace
Nagpur,Agra,flight,8667,177,Taj Mahal,Agra Fort
Shimla,Ahmedabad,car,4164,427,Sabarmati Ashram,Adalaj Stepwell
Chandigarh,Shimla,train,2414,716,Mall Road,Jakhoo Temple
Ahmedabad,Indore,flight,6908,200,Rajwada Palace,Lal Bagh Palace
