origin,destination,type,price,duration,main_attraction
Mumbai,Varanasi,flight,4895,224,Kashi Vishwanath Temple,Dashashwamedh Ghat
Nagpur,Pune,flight,5538,82,Shaniwar Wada,Aga Khan Palace
Mumbai,Agra,flight,4422,215,Taj Mahal,Agra Fort
Chandigarh,Delhi,bus,1531,447,Red Fort,Qutub Minar
Pune,Patna,flight,4906,222,Golghar,Nalanda University
Mumbai,Chandigarh,flight,5397,82,Rock Garden,Sukhna Lake
Delhi,Kashmir,flight,9418,168,Pahalgam ,Dal Lake
Shimla,Indore,flight,3959,132,Rajwada Palace,Lal Bagh Palace
Mumbai,Delhi,bus,509,523,Red Fort,Qutub Minar
Ahmedabad,Mysore,flight,9451,143,Mysore Palace,Brindavan Gardens
Varanasi,Bangalore,flight,5119,177,Bangalore Palace,Lalbagh Botanical Garden
Jaipur,Patna,flight,3393,167,Golghar,Nalanda University
Bangalore,Agra,bus,1225,886,Taj Mahal,Agra Fort
Nagpur,Surat,flight,9205,141,Dumas Beach,Sarthana Nature Park
Mysore,Varanasi,bus,760,635,Kashi Vishwanath Temple,Dashashwamedh Ghat
Patna,Bhopal,flight,7613,193,Upper Lake,Bhimbetka Rock Shelters
Indore,Bhopal,flight,4944,140,Upper Lake,Bhimbetka Rock Shelters
Nagpur,Mysore,flight,5554,68,Mysore Palace,Brindavan Gardens
Bangalore,Chandigarh,bus,762,353,Rock Garden,Sukhna Lake
Lucknow,Mumbai,flight,5761,76,Gateway of India,Marine Drive
Jaipur,Pune,train,3749,762,Shaniwar Wada,Aga Khan Palace
Dehradun,Kolkata,car,3433,257,Victoria Memorial,Howrah Bridge
Varanasi,Kashmir,flight,7925,168,Pahalgam ,Dal Lake
Surat,Goa,bus,1569,838,Baga Beach,Fort Aguada
Shimla,Agra,car,1445,343,Taj Mahal,Agra Fort
Kolkata,Mysore,flight,8337,189,Mysore Palace,Brindavan Gardens
Delhi,Amritsar,flight,8526,227,Golden Temple,Jallianwala Bagh
Delhi,Hyderabad,bus,1293,500,Charminar,Golkonda Fort
Agra,Goa,bus,904,823,Baga Beach,Fort Aguada
Patna,Chennai,bus,1634,893,Marina Beach,Kapaleeshwarar Temple
Kashmir,Lucknow,flight,4787,222,Bara Imambara,Chota Imambara
Pune,Delhi,bus,1875,784,Red Fort,Qutub Minar
Ahmedabad,Udaipur,flight,8021,70,City Palace,Lake Pichola
Goa,Indore,flight,7490,194,Rajwada Palace,Lal Bagh Palace
Pune,Amritsar,train,1503,381,Golden Temple,Jallianwala Bagh
Kolkata,Chennai,bus,954,534,Marina Beach,Kapaleeshwarar Temple
Bangalore,Indore,bus,820,863,Rajwada Palace,Lal Bagh Palace
Nagpur,Jaipur,flight,4063,100,Amber Fort,City Palace
Agra,Hyderabad,flight,4588,61,Charminar,Golkonda Fort
Mysore,Bhopal,bus,1900,796,Upper Lake,Bhimbetka Rock Shelters
Agra,Bhopal,flight,9382,128,Upper Lake,Bhimbetka Rock Shelters
Kolkata,Chennai,flight,3315,196,Marina Beach,Kapaleeshwarar Temple
Bhopal,Ahmedabad,flight,9607,228,Sabarmati Ashram,Adalaj Stepwell
Jaipur,Bhopal,flight,7082,120,Upper Lake,Bhimbetka Rock Shelters
Jaipur,Goa,flight,9728,114,Baga Beach,Fort Aguada
Pune,Jaipur,train,3273,669,Amber Fort,City Palace
Chennai,Mumbai,bus,1020,766,Gateway of India,Marine Drive
Udaipur,Chennai,bus,644,505,Marina Beach,Kapaleeshwarar Temple
Agra,Jaipur,car,4154,265,Amber Fort,City Palace
Kashmir,Chandigarh,flight,4593,180,Rock Garden,Sukhna Lake
Goa,Surat,bus,1472,720,Dumas Beach,Sarthana Nature Park
Bhopal,Udaipur,flight,4608,164,City Palace,Lake Pichola
Surat,Patna,flight,9379,208,Golghar,Nalanda University
Nagpur,Ahmedabad,bus,1941,499,Sabarmati Ashram,Adalaj Stepwell
Ahmedabad,Goa,flight,9302,96,Baga Beach,Fort Aguada
Hyderabad,Goa,flight,7756,75,Baga Beach,Fort Aguada
Udaipur,Lucknow,flight,4255,188,Bara Imambara,Chota Imambara
Chandigarh,Mumbai,bus,537,887,Gateway of India,Marine Drive
Jaipur,Kashmir,flight,6075,134,Pahalgam ,Dal Lake
Surat,Hyderabad,flight,4319,199,Charminar,Golkonda Fort
Delhi,Shimla,flight,7251,166,Mall Road,Jakhoo Temple
Hyderabad,Pune,flight,8701,229,Shaniwar Wada,Aga Khan Palace
Agra,Indore,bus,1334,831,Rajwada Palace,Lal Bagh Palace
Dehradun,Bangalore,flight,5591,151,Bangalore Palace,Lalbagh Botanical Garden
Goa,Delhi,flight,8578,104,Red Fort,Qutub Minar
Amritsar,Ahmedabad,train,2386,898,Sabarmati Ashram,Adalaj Stepwell
Mysore,Indore,flight,5328,61,Rajwada Palace,Lal Bagh Palace
Jaipur,Agra,car,5842,392,Taj Mahal,Agra Fort
Indore,Chennai,flight,9777,181,Marina Beach,Kapaleeshwarar Temple
Mumbai,Pune,flight,7391,119,Shaniwar Wada,Aga Khan Palace
Jaipur,Kashmir,flight,4594,194,Pahalgam ,Dal Lake
Chandigarh,Jaipur,car,5311,274,Amber Fort,City Palace
Chennai,Pune,flight,5045,178,Shaniwar Wada,Aga Khan Palace
Pune,Chennai,flight,6543,108,Marina Beach,Kapaleeshwarar Temple
Patna,Indore,flight,3573,69,Rajwada Palace,Lal Bagh Palace
Varanasi,Pune,car,3528,296,Shaniwar Wada,Aga Khan Palace
Kolkata,Bhopal,flight,5893,150,Upper Lake,Bhimbetka Rock Shelters
Mumbai,Udaipur,bus,1160,754,City Palace,Lake Pichola
Amritsar,Lucknow,train,2363,731,Bara Imambara,Chota Imambara
Surat,Amritsar,flight,8358,76,Golden Temple,Jallianwala Bagh
Pune,Udaipur,flight,8402,168,City Palace,Lake Pichola
Patna,Bangalore,flight,4908,108,Bangalore Palace,Lalbagh Botanical Garden
Bhopal,Hyderabad,bus,1619,552,Charminar,Golkonda Fort
Goa,Amritsar,flight,8749,193,Golden Temple,Jallianwala Bagh
Amritsar,Dehradun,car,4876,422,Robber's Cave,Forest Research Institute
Kolkata,Patna,flight,4411,170,Golghar,Nalanda University
Patna,Shimla,bus,927,898,Mall Road,Jakhoo Temple
Mysore,Hyderabad,flight,8866,83,Charminar,Golkonda Fort
Chennai,Nagpur,flight,9939,224,Deekshabhoomi,Ambazari Lake
Chennai,Udaipur,flight,5050,189,City Palace,Lake Pichola
Varanasi,Kolkata,train,3187,622,Victoria Memorial,Howrah Bridge
Jaipur,Surat,flight,4525,118,Dumas Beach,Sarthana Nature Park
Varanasi,Shimla,train,3205,528,Mall Road,Jakhoo Temple
Jaipur,Nagpur,flight,6256,137,Deekshabhoomi,Ambazari Lake
Goa,Lucknow,bus,843,810,Bara Imambara,Chota Imambara
Surat,Bhopal,flight,9461,118,Upper Lake,Bhimbetka Rock Shelters
Jaipur,Goa,flight,3650,122,Baga Beach,Fort Aguada
Delhi,Mysore,flight,7696,114,Mysore Palace,Brindavan Gardens
Amritsar,Udaipur,bus,1936,712,City Palace,Lake Pichola
Hyderabad,Delhi,flight,5842,183,Red Fort,Qutub Minar
Chennai,Hyderabad,flight,9076,74,Charminar,Golkonda Fort
Jaipur,Bhopal,flight,9560,66,Upper Lake,Bhimbetka Rock Shelters
Pune,Chennai,bus,551,527,Marina Beach,Kapaleeshwarar Temple
Goa,Ahmedabad,bus,630,565,Sabarmati Ashram,Adalaj Stepwell
Lucknow,Chandigarh,train,1732,832,Rock Garden,Sukhna Lake
Jaipur,Shimla,train,2067,519,Mall Road,Jakhoo Temple
Nagpur,Delhi,bus,1235,835,Red Fort,Qutub Minar
Lucknow,Mysore,bus,1989,760,Mysore Palace,Brindavan Gardens
Patna,Mysore,flight,8631,158,Mysore Palace,Brindavan Gardens
Chennai,Nagpur,bus,1045,511,Deekshabhoomi,Ambazari Lake
Chennai,Delhi,flight,9434,221,Red Fort,Qutub Minar
Shimla,Indore,flight,3918,60,Rajwada Palace,Lal Bagh Palace
Chennai,Dehradun,bus,1390,659,Robber's Cave,Forest Research Institute
Agra,Chennai,flight,4861,81,Marina Beach,Kapaleeshwarar Temple
Hyderabad,Dehradun,bus,1195,307,Robber's Cave,Forest Research Institute
Amritsar,Indore,flight,8953,61,Rajwada Palace,Lal Bagh Palace
Lucknow,Goa,flight,8366,107,Baga Beach,Fort Aguada
Varanasi,Kolkata,car,5797,439,Victoria Memorial,Howrah Bridge
Patna,Chennai,bus,1427,522,Marina Beach,Kapaleeshwarar Temple
Nagpur,Patna,flight,3449,120,Golghar,Nalanda University
Delhi,Udaipur,flight,3170,176,City Palace,Lake Pichola
Kolkata,Nagpur,bus,1686,459,Deekshabhoomi,Ambazari Lake
Bhopal,Mysore,flight,5026,131,Mysore Palace,Brindavan Gardens
Kashmir,Kolkata,flight,4403,101,Victoria Memorial,Howrah Bridge
Bangalore,Varanasi,flight,3002,93,Kashi Vishwanath Temple,Dashashwamedh Ghat
Pune,Udaipur,bus,1954,369,City Palace,Lake Pichola
Chennai,Udaipur,flight,5093,93,City Palace,Lake Pichola
Mumbai,Lucknow,flight,3404,158,Bara Imambara,Chota Imambara
Hyderabad,Mumbai,bus,765,670,Gateway of India,Marine Drive
Agra,Hyderabad,flight,3840,215,Charminar,Golkonda Fort
Udaipur,Delhi,flight,9245,131,Red Fort,Qutub Minar
Shimla,Indore,flight,9308,60,Rajwada Palace,Lal Bagh Palace
Pune,Hyderabad,flight,3080,212,Charminar,Golkonda Fort
Goa,Mysore,flight,7413,203,Mysore Palace,Brindavan Gardens
Kashmir,Agra,flight,5807,205,Taj Mahal,Agra Fort
Amritsar,Bhopal,flight,3408,92,Upper Lake,Bhimbetka Rock Shelters
Indore,Mysore,bus,948,306,Mysore Palace,Brindavan Gardens
Goa,Chennai,flight,6021,127,Marina Beach,Kapaleeshwarar Temple
Mysore,Indore,flight,6449,142,Rajwada Palace,Lal Bagh Palace
Shimla,Chandigarh,train,2610,473,Rock Garden,Sukhna Lake
Chandigarh,Lucknow,train,3946,483,Bara Imambara,Chota Imambara
Lucknow,Pune,train,1032,467,Shaniwar Wada,Aga Khan Palace
Indore,Chennai,bus,1718,581,Marina Beach,Kapaleeshwarar Temple
Chandigarh,Patna,flight,3192,178,Golghar,Nalanda University
Udaipur,Agra,flight,5059,160,Taj Mahal,Agra Fort
Varanasi,Bhopal,bus,1617,650,Upper Lake,Bhimbetka Rock Shelters
Bangalore,Ahmedabad,flight,6132,204,Sabarmati Ashram,Adalaj Stepwell
Surat,Shimla,bus,1353,561,Mall Road,Jakhoo Temple
Kashmir,Chandigarh,flight,6431,104,Rock Garden,Sukhna Lake
Bangalore,Jaipur,flight,8670,160,Amber Fort,City Palace
Agra,Kashmir,flight,9116,74,Pahalgam ,Dal Lake
Shimla,Hyderabad,flight,3401,126,Charminar,Golkonda Fort
Lucknow,Mysore,flight,6786,60,Mysore Palace,Brindavan Gardens
Mysore,Udaipur,flight,8647,119,City Palace,Lake Pichola
Dehradun,Patna,flight,8250,70,Golghar,Nalanda University
Kolkata,Mysore,flight,5986,92,Mysore Palace,Brindavan Gardens
Bangalore,Kolkata,flight,7803,230,Victoria Memorial,Howrah Bridge
Kolkata,Amritsar,car,4446,310,Golden Temple,Jallianwala Bagh
Chandigarh,Dehradun,car,1510,238,Robber's Cave,Forest Research Institute
Hyderabad,Ahmedabad,flight,3825,107,Sabarmati Ashram,Adalaj Stepwell
Indore,Varanasi,bus,849,366,Kashi Vishwanath Temple,Dashashwamedh Ghat
Amritsar,Kashmir,flight,7043,208,Pahalgam ,Dal Lake
Lucknow,Udaipur,flight,9770,68,City Palace,Lake Pichola
Goa,Agra,bus,1651,875,Taj Mahal,Agra Fort
Bhopal,Surat,flight,7761,107,Dumas Beach,Sarthana Nature Park
Jaipur,Udaipur,flight,8766,208,City Palace,Lake Pichola
Amritsar,Jaipur,car,4025,388,Amber Fort,City Palace
Bangalore,Jaipur,flight,4661,68,Amber Fort,City Palace
Shimla,Goa,bus,1054,470,Baga Beach,Fort Aguada
Shimla,Udaipur,bus,681,867,City Palace,Lake Pichola
Kashmir,Surat,bus,1994,845,Dumas Beach,Sarthana Nature Park
Mumbai,Chennai,bus,922,343,Marina Beach,Kapaleeshwarar Temple
Indore,Ahmedabad,bus,1878,676,Sabarmati Ashram,Adalaj Stepwell
Shimla,Patna,flight,9494,105,Golghar,Nalanda University
Mysore,Ahmedabad,bus,1203,739,Sabarmati Ashram,Adalaj Stepwell
Kashmir,Udaipur,flight,7771,222,City Palace,Lake Pichola
Bangalore,Pune,flight,7896,79,Shaniwar Wada,Aga Khan Palace
Mysore,Amritsar,bus,1244,812,Golden Temple,Jallianwala Bagh
Patna,Mysore,flight,5600,193,Mysore Palace,Brindavan Gardens
Kashmir,Nagpur,flight,8958,143,Deekshabhoomi,Ambazari Lake
Kolkata,Lucknow,car,4487,390,Bara Imambara,Chota Imambara
Mysore,Patna,flight,9105,134,Golghar,Nalanda University
Varanasi,Delhi,bus,1043,883,Red Fort,Qutub Minar
Hyderabad,Pune,bus,1163,572,Shaniwar Wada,Aga Khan Palace
Kashmir,Kolkata,flight,3141,237,Victoria Memorial,Howrah Bridge
Patna,Chennai,bus,1971,453,Marina Beach,Kapaleeshwarar Temple
Kashmir,Agra,flight,9249,68,Taj Mahal,Agra Fort
Amritsar,Indore,flight,8972,97,Rajwada Palace,Lal Bagh Palace
Jaipur,Shimla,train,3041,646,Mall Road,Jakhoo Temple
Jaipur,Goa,bus,814,496,Baga Beach,Fort Aguada
Chandigarh,Pune,train,1446,513,Shaniwar Wada,Aga Khan Palace
Mumbai,Bangalore,bus,1474,515,Bangalore Palace,Lalbagh Botanical Garden
Amritsar,Bangalore,flight,7318,85,Bangalore Palace,Lalbagh Botanical Garden
Udaipur,Ahmedabad,flight,7408,142,Sabarmati Ashram,Adalaj Stepwell
Amritsar,Lucknow,car,5237,204,Bara Imambara,Chota Imambara
Surat,Bangalore,flight,9376,122,Bangalore Palace,Lalbagh Botanical Garden
Kashmir,Patna,bus,1300,577,Golghar,Nalanda University
Dehradun,Amritsar,car,3104,282,Golden Temple,Jallianwala Bagh
Delhi,Patna,flight,3524,227,Golghar,Nalanda University
Chandigarh,Jaipur,train,1986,330,Amber Fort,City Palace
Nagpur,Agra,flight,9648,103,Taj Mahal,Agra Fort
Udaipur,Amritsar,flight,9995,220,Golden Temple,Jallianwala Bagh
Mysore,Ahmedabad,flight,5254,150,Sabarmati Ashram,Adalaj Stepwell
Ahmedabad,Dehradun,car,4557,462,Robber's Cave,Forest Research Institute
Kolkata,Goa,bus,1905,898,Baga Beach,Fort Aguada
Kolkata,Hyderabad,flight,6471,190,Charminar,Golkonda Fort
Bangalore,Indore,flight,5972,78,Rajwada Palace,Lal Bagh Palace
Delhi,Hyderabad,bus,1892,705,Charminar,Golkonda Fort
Kashmir,Udaipur,flight,3076,95,City Palace,Lake Pichola
Goa,Hyderabad,flight,3203,129,Charminar,Golkonda Fort
Pune,Kashmir,flight,8062,151,Pahalgam ,Dal Lake
Surat,Chandigarh,flight,4733,234,Rock Garden,Sukhna Lake
Agra,Varanasi,train,3705,564,Kashi Vishwanath Temple,Dashashwamedh Ghat
Amritsar,Kashmir,flight,6348,188,Pahalgam ,Dal Lake
Mumbai,Ahmedabad,flight,8937,152,Sabarmati Ashram,Adalaj Stepwell
Varanasi,Dehradun,train,3282,489,Robber's Cave,Forest Research Institute
Indore,Delhi,flight,6982,177,Red Fort,Qutub Minar
Shimla,Kashmir,flight,6045,215,Pahalgam ,Dal Lake
Agra,Shimla,train,3429,397,Mall Road,Jakhoo Temple
Bhopal,Lucknow,flight,4415,129,Bara Imambara,Chota Imambara
Lucknow,Patna,flight,4080,132,Golghar,Nalanda University
Udaipur,Agra,flight,8645,120,Taj Mahal,Agra Fort
Goa,Bangalore,flight,8602,93,Bangalore Palace,Lalbagh Botanical Garden
Bhopal,Kashmir,flight,5383,188,Pahalgam ,Dal Lake
Hyderabad,Patna,bus,981,862,Golghar,Nalanda University
Delhi,Lucknow,flight,7056,138,Bara Imambara,Chota Imambara
Varanasi,Kolkata,car,3225,399,Victoria Memorial,Howrah Bridge
Bhopal,Ahmedabad,flight,3593,185,Sabarmati Ashram,Adalaj Stepwell
Chennai,Delhi,bus,1135,643,Red Fort,Qutub Minar
Indore,Amritsar,flight,9083,66,Golden Temple,Jallianwala Bagh
Chandigarh,Pune,train,1927,530,Shaniwar Wada,Aga Khan Palace
Udaipur,Dehradun,flight,6662,232,Robber's Cave,Forest Research Institute
Kashmir,Dehradun,flight,6954,147,Robber's Cave,Forest Research Institute
Pune,Amritsar,car,4069,266,Golden Temple,Jallianwala Bagh
Bhopal,Varanasi,flight,3616,106,Kashi Vishwanath Temple,Dashashwamedh Ghat
Indore,Udaipur,flight,4065,101,City Palace,Lake Pichola
Mumbai,Dehradun,flight,4846,217,Robber's Cave,Forest Research Institute
Lucknow,Delhi,bus,1364,827,Red Fort,Qutub Minar
Bhopal,Indore,bus,843,722,Rajwada Palace,Lal Bagh Palace
Patna,Chennai,flight,4017,211,Marina Beach,Kapaleeshwarar Temple
